,Description,NDB_NO_tags
2150,1.0 whole tomato,"""11529"""
2151,0.5 cup spanish onion,"""11294"""
2152,1.0 tablespoon fresh thyme,"""02049"""
2153,0.25 cup parsley,"""11297"""
2154,0.5 cup egg whites,"""01124"""
2155,0.125 teaspoon cream of tartar,"""18373"""
2156,0.125 teaspoon salt,"""02047"""
2157,1.0 cup granulated sugar,"""19335"""
2158,1.5 teaspoons cornstarch,"""20027"""
2159,0.5 teaspoon vanilla extract,"""02050"""
2160,1.0 tablespoon raspberry vinegar,"""02069"""
2161,0.25 cup cocoa powder,"""19165"""
2162,2.0 whole kiwis,"""09148"""
2163,10.0 whole strawberries,"""09316"""
2164,0.25 cup extra virgin olive oil,"""04708"""
2165,2.0 whole garlic cloves,"""11215"""
2166,2.0 pounds plum tomatoes,"""11529"""
2167,0.5 teaspoon dried red pepper,"""02031"""
2168,1 tablespoon kosher salt,"""02047"""
2169,60 ounce new york strip steaks,"""23607"""
2170,6.5 slices ciabatta,"""18967"""
2171,10 ounce canned tuna,"""15119"""
2172,0.25 cup red onion,"""11282"""
2173,0.25 cup fresh parsley,"""11297"""
2174,0.25 cup kalamata olives,"""09193"""
2175,3.0 tablespoons olive oil,"""44005"""
2176,2.0 tablespoons squeezed lemon juice,"""09152"""
2177,1 tablespoon salt,"""02047"""
2178,1 tablespoon ground black pepper,"""02030"""
2179,6.0 cups mixed greens,"""11253"""
2180,4.0 whole whole-grain wrap,"""18616"""
2181,2.0 whole tomatoes,"""11529"""
2182,4.0 whole zucchini,"""11477"""
2183,0.5 tablespoon nonstick cooking spray,"""04679"""
2184,0.666666666667 cup parmesan cheese ,"""01033"""
2185,0.5 cup scallions,"""11291"""
2186,1.0 teaspoon chili powder,"""02009"""
2187,1.0 teaspoon ground cumin,"""02014"""
2188,0.5 teaspoon garlic powder,"""02020"""
2189,0.5 teaspoon kosher salt,"""02047"""
2190,2.0 whole eggs,"""01123"""
2191,0.75 cup cherry tomatoes,"""11529"""
2192,2.0 teaspoons fresh basil,"""02044"""
2193,2.0 teaspoons fresh mint,"""02064"""
2194,0.25 teaspoon kosher salt,"""02047"""
2195,0.5 whole zucchini,"""11477"""
2196,0.5 whole lime juice,"""09160"""
2197,1.0 tablespoon olive oil,"""44005"""
2198,0.5 pound ground beef,"""23572"""
2199,1 whole shallot,"""11677"""
2200,1.0 whole serrano chile,"""11977"""
2201,1.0 teaspoon kosher salt,"""02047"""
2202,1.0 whole corn ,"""11167"""
2203,0.5 teaspoon ancho chile powder,"""02009"""
2204,0.5 teaspoon ground cumin,"""02014"""
2205,15 ounce refried beans,"""16103"""
2206,0.25 cup crumbled feta cheese,"""01019"""
2207,1 whole cake,"""18146"""
2208,6.0 cups blue frosting,"""19230"""
2209,2.0 cups orange-yellow frosting,"""19230"""
2210,30 whole necco wafers,"""18213"""
2211,1.0 whole mint patty,"""19091"""
2212,0.333333333333 cup soy sauce,"""16124"""
2213,2.0 tablespoons mirin,"""02068"""
2214,2.5 tablespoons cider vinegar,"""02048"""
2215,2.0 tablespoons sugar,"""19335"""
2216,1.5 tablespoons fresh gingerroot,"""11216"""
2217,2.0 whole salmon steaks,"""15238"""
2218,6.0 whole eggs,"""01123"""
2219,4.0 whole celery stalks,"""11143"""
2220,10.0 pounds russet potatoes,"""11353"""
2221,3.0 teaspoons salt,"""02047"""
2222,2.0 tablespoons prepared mustard,"""02046"""
2223,3.0 tablespoons dill relish,"""11937"""
2224,5.0 tablespoons mayonnaise,"""42138"""
2225,1 teaspoon ground black pepper,"""02030"""
2226,4.0 cups coconut milk,"""12117"""
2227,1.0 cup dates,"""09421"""
2228,1 cup water,"""14411"""
2229,4.0 tablespoons almond butter,"""12695"""
2230,4.0 tablespoons maca powder,"""19070"""
2231,3.0 teaspoons ground vanilla powder,"""02050"""
2232,2.0 teaspoons cistanche herb,"""14188"""
2233,2.0 teaspoons mesquite powder,"""11157"""
2234,1.0 teaspoon ground cinnamon,"""02010"""
2235,0.5 teaspoon ground cloves,"""02011"""
2236,1 pinches sea salt,"""02047"""
2237,1.0 whole hot dog roll,"""28288"""
2238,2.0 whole leaves lettuce,"""11253"""
2239,3.0 ounces lobster meat ,"""15147"""
2240,1.0 teaspoon mayonnaise,"""42138"""
2241,4.0 whole bunches redbor kale stems,"""11233"""
2242,0.333333333333 cup extra virgin olive oil,"""04708"""
2243,5.0 tablespoons red wine vinegar,"""02068"""
2244,1 teaspoon salt,"""02047"""
2245,1 teaspoon black pepper,"""02030"""
2246,1 teaspoon black pepper,"""02030"""
2247,8.5 slices bacon,"""10123"""
2248,4.0 whole cloves garlic,"""11215"""
2249,1 pinch red pepper flakes,"""02031"""
2250,2.0 tablespoons pure maple syrup,"""19353"""
2251,1 ounce black-eyed peas ,"""16062"""
2252,0.5 cup almonds,"""12061"""
2253,1.0 whole shallot,"""11677"""
2254,0.75 pound fettucine,"""20120"""
2255,12.0 ounces chicken,"""05011"""
2256,4.0 whole scallions,"""11291"""
2257,2.0 tablespoons sesame oil,"""04058"""
2258,2.0 tablespoons rice vinegar,"""02068"""
2259,2.0 teaspoons chinese chili paste with garlic,"""06962"""
2260,0.25 cup chunky peanut butter,"""16097"""
2261,1 tablespoon salt,"""02047"""
2262,0.5 tablespoon red pepper,"""11821"""
2263,2 cups spinach leaves,"""11457"""
2264,2.0 whole kirby cucumbers,"""11205"""
2265,1.5 pounds boneless duck breast ,"""05145"""
2266,1.0 whole bosc pear,"""09413"""
2267,0.75 cup apple juice,"""03166"""
2268,0.5 teaspoon cornstarch,"""20027"""
2269,2.0 tablespoons calvados,"""14037"""
2270,1.0 tablespoon green peppercorns,"""02030"""
2271,1 tablespoon bouillon cube,"""06080"""
2272,1.0 teaspoon thyme leaves,"""02049"""
2273,1.5 pounds shrimp in shell,"""15270"""
2274,3.0 quarts corn oil,"""42289"""
2275,3.0 tablespoon plus 1 teaspoon kosher salt divided,"""02047"""
2276,2.0 whole egg whites at room temperature minutes,"""01124"""
2277,1.0 cup cornstarch,"""20027"""
2278,3.0 tablespoons plus 1 teaspoon ground black pepper ,"""02030"""
2279,2.0 cups fresh jalapeño ,"""11979"""
2280,3.0 cups cilantro sprigs ,"""11165"""
2281,2.0 teaspoons flaky sea salt such as maldon,"""02047"""
2282,1.0 cup sugar,"""19335"""
2283,2.0 sticks unsalted butter,"""01145"""
2284,2.0 tablespoons maple syrup,"""19353"""
2285,2.0 whole eggs,"""01123"""
2286,1.0 cup canned pumpkin,"""11424"""
2287,1.5 teaspoons ground cinnamon,"""02010"""
2288,0.5 teaspoon ground all spice,"""02001"""
2289,0.25 teaspoon nutmeg,"""02025"""
2290,1 pinch ground cloves,"""02011"""
2291,2.5 cups flour,"""20581"""
2292,2.0 teaspoons baking powder,"""18371"""
2293,1 pinch of salt,"""02047"""
2294,2.0 whole packages cream cheese,"""01017"""
2295,1.0 cup confectioners sugar,"""19335"""
2296,0.25 cup milk,"""01077"""
2297,1.0 tablespoon vanilla extract,"""02050"""
2298,.5 cup whole pecans,"""12142"""
2299,0.5 tablespoon non stick cooking spray,"""04679"""
2300,1 whole loaf white bread,"""18069"""
2301,24 ounce chef boyardee spaghetti & meatballs,"""22912"""
2302,1.0 cup part-skim mozzarella cheese,"""01028"""
2303,0.25 cup parmesan cheese,"""01033"""
2304,2.0 tablespoons fresh parsley,"""11297"""
2305,8.0 ounces dried spaghetti,"""20120"""
2306,1 teaspoon kosher salt,"""02047"""
2307,2.0 tablespoons parmigiano cheese,"""01033"""
2308,2.0 tablespoons pecorino cheese ,"""01033"""
2309,1 whole basil leaf,"""02044"""
2310,1 sprig parsley,"""11297"""
2311,1 whole mint leaf ,"""02064"""
2312,1.0 cup pancetta,"""10123"""
2313,1.0 cup onion,"""11282"""
2314,1.0 whole carrot,"""11124"""
2315,1.0 whole celery,"""11143"""
2316,2.0 whole cloves garlic,"""11215"""
2317,12 oz tomato puree,"""11547"""
2318,1 pinch ground cinnamon,"""02010"""
2319,1 pinch ground cumin,"""02014"""
2320,1 pinch ground cardamom,"""02006"""
2321,0.5 pound mostaccioli,"""20120"""
2322,5.0 whole garlic cloves,"""11215"""
2323,0.25 cup parmesan cheese,"""01033"""
2324,1.0 teaspoon dried red pepper flakes,"""02031"""
2325,2.0 dashes hot pepper sauce,"""06168"""
2326,0.25 cup olive oil,"""44005"""
2327,1.0 tablespoon butter,"""01001"""
2328,1.0 pound fresh asparagus,"""11011"""
2329,0.25 teaspoon black pepper,"""02030"""
2330,1 tablespoon black pepper,"""02030"""
2331,4.0 ounces grapeseed oil,"""04517"""
2332,1.0 cup carrots,"""11124"""
2333,1.0 cup celery,"""11143"""
2334,1.0 cup onions,"""11282"""
2335,6.0 whole cloves garlic,"""11215"""
2336,1.0 teaspoon chile flakes,"""02031"""
2337,0.5 cup white wine,"""14106"""
2338,1.0 whole potato,"""11362"""
2339,4.0 cups tomatoes,"""11529"""
2340,1.0 tablespoon tomato paste,"""11546"""
2341,1.0 tablespoon oregano,"""02027"""
2342,5.0 whole fresh basil,"""02044"""
2343,1 teaspoon salt,"""02047"""
2344,1 teaspoon black pepper,"""02030"""
2345,2.0 tablespoons unsalted butter,"""01145"""
2346,6.0 whole leeks white,"""11246"""
2347,0.5 cup olive oil,"""44005"""
2348,1 teaspoon salt,"""02047"""
2349,1.0 whole lemon,"""09150"""
2350,1.0 teaspoon ground cumin,"""02014"""
2351,0.25 teaspoon ground cinnamon,"""02010"""
2352,0.5 teaspoon paprika,"""02028"""
2353,0.25 teaspoon chili powder,"""02009"""
2354,1.0 tablespoons olive oil,"""44005"""
2355,24 ounce roasted red peppers,"""11821"""
2356,1 teaspoon salt,"""02047"""
2357,1 teaspoon black pepper,"""02030"""
2358,1.0 tablespoon fresh parsley leaves,"""11297"""
2359,10.0 ounces chicken stock,"""06172"""
2360,1.0 whole red onion,"""11282"""
2361,2.0 whole cloves garlic,"""11215"""
2362,0.5 cup white wine,"""14106"""
2363,3.0 whole red bell peppers,"""11821"""
2364,2.0 tablespoons cornstarch,"""20027"""
2365,1 teaspoon salt,"""02047"""
2366,1 teaspoon black pepper,"""02030"""
2367,4.0 cups water,"""14411"""
2368,2.0 cups uncooked grits,"""08090"""
2369,6.0 ounces shrimp,"""15270"""
2370,4.0 tablespoons butter ,"""01001"""
2371,4.0 tablespoons scallions,"""11291"""
2372,2.0 tablespoons tomatoes ,"""11529"""
2373,1.0 teaspoon cilantro,"""11165"""
2374,4.0 tablespoons bacon ,"""10123"""
2375,4.0 ounces shredded cheddar,"""01270"""
2376,6.0 whole red snapper fillets skin on,"""15101"""
2377,1 teaspoon salt,"""02047"""
2378,1 teaspoon black pepper,"""02030"""
2379,0.125 cup grapeseed oil,"""04517"""
2380,6.0 whole shrimp,"""15270"""
2381,2.0 tablespoons grapeseed oil,"""04517"""
2382,1 teaspoon salt,"""02047"""
2383,1 teaspoon black pepper,"""02030"""
2384,1 teaspoon black pepper,"""02030"""
2385,0.5 cup small-diced carrots,"""11124"""
2386,0.5 cup small-diced celery,"""11143"""
2387,0.5 cup small-diced onions,"""11282"""
2388,4.0 cups prepared veal stock,"""06170"""
2389,2.0 cups red wine such as cabernet,"""14097"""
2390,2.0 sticks butter softened,"""01145"""
2391,2 tablespoons seasonal vegetables,"""11583"""
2392,16.0 whole shrimp,"""15270"""
2393,1.0 teaspoon dried oregano,"""02027"""
2394,1 teaspoon salt,"""02047"""
2395,1 teaspoon black pepper,"""02030"""
2396,2.0 tablespoons vegetable oil,"""04513"""
2397,1.0 pint cherry,"""09063"""
2398,2.0 whole kirby cucumbers,"""11205"""
2399,1.0 cup olives,"""09194"""
2400,2.0 tablespoons extra virgin olive oil,"""04708"""
2401,1.0 whole lemon,"""09150"""
2402,12 ounce bread cheese,"""18972"""
2403,1.5 pounds yellow onions,"""11294"""
2404,3.0 tablespoons unsalted butter,"""01145"""
2405,1.0 tablespoon olive oil,"""44005"""
2406,1 pinch of sugar,"""19335"""
2407,1 teaspoon salt,"""02047"""
2408,1 teaspoon black pepper,"""02030"""
2409,2.0 tablespoons flour,"""20581"""
2410,4.0 cups beef broth,"""06008"""
2411,0.5 cup dry white wine,"""14106"""
2412,0.5 cup onion,"""11282"""
2413,2.0 tablespoons cognac,"""14037"""
2414,8.0 slices french bread,"""18349"""
2415,2 tablespoons unsalted butter,"""01145"""
2416,1.0 whole clove garlic halved,"""11215"""
2417,0.5 cups gruyere,"	""01023"""
2418,0.333333333333 cup parmesan,"""01033"""
2419,0.75 cup roasted peanuts,"""16087"""
2420,4.0 whole serrano chiles,"""11977"""
2421,3.0 whole cloves garlic,"""11215"""
2422,1.0 tablespoon ginger,"""11216"""
2423,3.0 whole lime juice,"""09159"""
2424,2.0 tablespoons fish sauce ,"""06179"""
2425,0.5 cup peanut oil ,"""44005"""
2426,0.5 tablespoon salt,"""02047"""
2427,1.0 tablespoon sugar,"""19335"""
2428,2.0 cups thai basil leaves,"""02044"""
2429,1.0 cup cilantro leaves,"""11165"""
2430,1.0 cup mint leaves,"""02064"""
2431,0.5 cup canola oil ,"""04582"""
2432,12.0 whole shrimp deveined tail on,"""15270"""
2433,1 teaspoon salt,"""02047"""
2434,1 teaspoon black pepper,"""02030"""
2435,1 teaspoon black pepper,"""02030"""
2436,1.0 whole head baby romaine chiffonade,"""11253"""
2437,1.25 cups all-purpose flour,"""20581"""
2438,2.0 tablespoons sugar,"""19335"""
2439,0.25 teaspoon salt,"""02047"""
2440,1.5 stick unsalted butter,"""01145"""
2441,3.0 tablespoons ice water,"""14411"""
2442,0.5 whole vanilla bean,"""02050"""
2443,1.25 cups heavy cream,"""01053"""
2444,0.666666666667 cup whole milk,"""01077"""
2445,4.0 whole egg yolks,"""01125"""
2446,1.0 whole egg,"""01123"""
2447,0.5 cup sugar,"""19335"""
2448,0.125 teaspoon salt,"""02047"""
2449,2.0 cups buttermilk,"""01230"""
2450,3.0 whole eggs,"""01123"""
2451,6.0 tablespoons unsalted butter melted ,"""01145"""
2452,0.75 cup all-purpose flour,"""20581"""
2453,0.5 cup whole-wheat flour,"""20080"""
2454,0.25 cup wheat germ,"""20078"""
2455,1.0 teaspoon salt,"""02047"""
2456,2.0 teaspoons double-acting baking powder,"""18370"""
2457,1.5 teaspoons baking soda,"""18372"""
2458,3.0 tablespoons sugar,"""19335"""
2459,2.0 cups blueberries picked over,"""09050"""
2460,1 whole blueberry syrup,"""09352"""
2461,6.0 cups blueberries picked over,"""09050"""
2462,3.0 cups sugar,"""19335"""
2463,0.125 cup lemon juice,"""09152"""
2464,2.0 cups apples,"""09503"""
2465,4.0 whole granny smith,"""09502"""
2466,2.0 tablespoons unsalted butter,"""01145"""
2467,3.0 tablespoons sugar,"""19335"""
2468,0.5 teaspoon cinnamon,"""02010"""
2469,0.125 cup lemon juice,"""09152"""
2470,1.5 cups fromage blanc,"""01287"""
2471,1.0 tablespoon chives,"""11156"""
2472,1.0 tablespoon parsley leaves,"""11297"""
2473,1.0 teaspoon tarragon leaves,"""02041"""
2474,1.5 teaspoons shallot,"""11677"""
2475,1.0 tablespoon olive oil,"""44005"""
2476,1.5 teaspoons red-wine vinegar,"""02068"""
2477,1 teaspoon salt,"""02047"""
2478,1 teaspoon black pepper,"""02030"""
2479,1 tablespoon salt,"""02047"""
2480,2.0 pounds yukon gold potatoes,"""11362"""
2481,5.0 tablespoons unsalted butter,"""01145"""
2482,1 teaspoon salt,"""02047"""
2483,1 teaspoon black pepper,"""02030"""
2484,1.0 pound chicken livers ,"""05027"""
2485,1 teaspoon salt,"""02047"""
2486,1 teaspoon black pepper,"""02030"""
2487,3.0 tablespoons unsalted butter,"""01145"""
2488,1.0 tablespoon shallots,"""11677"""
2489,2.0 tablespoons sherry vinegar,"""02068"""
2490,3 cups salad greens,"""11253"""
2491,1 teaspoon salt,"""02047"""
2492,1 teaspoon black pepper,"""02030"""
2493,2 tablespoon olive oil,"""44005"""
2494,2 tablespoon sherry vinegar,"""02068"""
2495,1.5 cups low-sodium chicken stock,"""06172"""
2496,4.0 tablespoons butter,"""01001"""
2497,1 cup green onion ,"""11291"""
2498,1.0 teaspoon red pepper flakes,"""02031"""
2499,1.0 whole box cornbread stuffing mix,"""18084"""
2500,1.0 whole sugar free strawberry powdered drink mix,"""14350"""
2501,1.5 ounces white rum,"""14037"""
2502,0.5 whole lime juice ,"""09160"""
2503,3.0 whole frozen strawberries,"""09318"""
2504,1.0 cup ice ,"""14411"""
2505,2 tablespoons whipping cream,"""01053"""
2506,2.0 whole garlic cloves,"""11215"""
2507,1.0 cup extra virgin olive oil,"""04708"""
2508,0.5 cup cilantro leaves ,"""11165"""
2509,0.5 cup ancho chile paste,"""11978"""
2510,0.5 cup unsweetened cocoa powder,"""19165"""
2511,2.0 whole lime juice,"""09160"""
2512,1 teaspoon salt,"""02047"""
2513,1 teaspoon black pepper,"""02030"""
2514,1 teaspoon black pepper,"""02030"""
2515,1.0 whole flank steak,"""13970"""
2516,1.0 whole clove garlic,"""11215"""
2517,1 teaspoon kosher salt,"""02047"""
2518,1.5 pounds heirloom tomotoes,"""11529"""
2519,8.0 ounces cucumbers ,"""11205"""
2520,2.0 whole scallions,"""11291"""
2521,0.5 whole green bell pepper,"""11333"""
2522,0.25 whole jalapeno,"""11979"""
2523,0.25 cup parsley,"""11297"""
2524,2.0 tablespoons mint,"""02064"""
2525,1 teaspoon black pepper,"""02030"""
2526,2.0 tablespoons extra-virgin olive oil,"""44005"""
2527,1.0 tablespoon sherry vinegar,"""02068"""
2528,1.5 cups tomato juice ,"""11886"""
2529,4.0 whole ice cubes,"""14411"""
2530,4.0 tablespoons cucumber,"""11205"""
2531,2.0 cups dry red wine such as cabernet,"""14097"""
2532,0.25 tablespoon sugar,"""19335"""
2533,1.0 whole orange juiced,"""42270"""
2534,2.0 whole cloves,"""02011"""
2535,4.0 whole firm ripe pears,"""09252"""
2536,0.5 whole red onion,"""11282"""
2537,3.0 tablespoons white wine vinegar,"""02053"""
2538,1 teaspoon kosher salt,"""02047"""
2539,1.0 whole bunch asparagus,"""11011"""
2540,0.5 cup buttermilk,"""01230"""
2541,0.5 cup parmesan ,"""01033"""
2542,3.0 tablespoons mayonnaise,"""42138"""
2543,1.0 whole clove garlic,"""11215"""
2544,1 teaspoon ground black pepper,"""02030"""
2545,8.0 cups baby arugula ,"""11959"""
2546,6.0 whole radishes quartered,"""11429"""
2547,1.0 cup broccoli,"""11090"""
2548,2.0 cups freeze-dried snap peas,"""11300"""
2549,4.0 whole hard boiled eggs cut into wedges,"""01123"""
2550,0.5 cup roasted almonds,"""12061"""
2551,1.0 cup very strong brewed hazelnut coffee ,"""14180"""
2552,1.0 cup very cold half-and-half,"""01049"""
2553,0.25 cup chocolate-toffee syrup plus more for drizzling ,"""14181"""
2554,0.5 cup pure cane sugar,"""19335"""
2555,0.75 cup heavy cream warmed,"""01053"""
2556,6.0 ounces best-quality milk chocolate,"""19120"""
2557,1 pinch of salt,"""02047"""
2558,0.5 teaspoon pure vanilla extract,"""02050"""
2559,1.0 teaspoon dijon mustard,"""02046"""
2560,1.0 teaspoon honey,"""19296"""
2561,1.0 whole shallot,"""11677"""
2562,1 teaspoon salt,"""02047"""
2563,1 teaspoon black pepper,"""02030"""
2564,0.25 cup extra virgin olive oil,"""04708"""
2565,1.0 whole sweet potato,"""11507"""
2566,2.5 whole carrots,"""11124"""
2567,2.0 whole parsnips,"""11298"""
2568,1.0 whole red onion,"""11282"""
2569,5.0 whole garlic cloves,"""11215"""
2570,1.0 tablespoon fresh thyme,"""02049"""
2571,1 teaspoon salt,"""02047"""
2572,1 teaspoon black pepper,"""02030"""
2573,2.0 tablespoons extra virgin olive oil,"""04708"""
2574,2.0 tablespoons apple cider vinegar,"""02048"""
2575,4.0 whole poblano chiles,"""11333"""
2576,1.0 pound mushrooms,"""11260"""
2577,1.0 whole red bell pepper,"""11821"""
2578,1.0 whole green bell pepper,"""11333"""
2579,1.0 whole yellow bell pepper,"""11951"""
2580,1.0 tablespoon olive oil,"""44005"""
2581,1 teaspoon salt,"""02047"""
2582,1 teaspoon black pepper,"""02030"""
2583,2.0 whole shallots,"""11677"""
2584,1.0 cup dry white wine,"""14106"""
2585,0.5 cup white wine vinegar,"""02053"""
2586,0.5 whole lemon juiced,"""09152"""
2587,1.0 pound unsalted butter,"""01145"""
2588,1 teaspoon salt,"""02047"""
2589,1 teaspoon black pepper,"""02030"""
2590,2.0 tablespoons fresh cilantro,"""11165"""
2591,2.0 cups chicken,"""05011"""
2592,1.0 whole onion,"""11282"""
2593,1.0 cup sharp cheddar cheese ,"""01270"""
2594,0.75 cup tomato sauce,"""43217"""
2595,1 ounce mild green chilies,"""11333"""
2596,2.0 whole garlic cloves,"""11215"""
2597,1.5 teaspoons paprika,"""02028"""
2598,0.5 teaspoon cayenne pepper,"""02031"""
2599,8.0 whole yellow peppers,"""11951"""
2600,0.5 pound chicken livers,"""05027"""
2601,5.0 whole egg yolks,"""01125"""
2602,1.0 cup heavy cream,"""01053"""
2603,1.0 cup shiitake mushrooms,"""11238"""
2604,2.0 tablespoons chives,"""11156"""
2605,0.5 cup edamames,"""11211"""
2606,1.0 tablespoon white truffle oil,"""04517"""
2607,2 teaspoon salt,"""02047"""
2608,2 teaspoon black pepper,"""02030"""
2609,1.0 tablespoon canola oil,"""04582"""
2610,1.0 whole yellow onion,"""11294"""
2611,1.0 tablespoon garlic,"""11215"""
2612,2.0 cups chicken stock,"""06172"""
2613,1.0 cup edamames,"""11211"""
2614,1.0 cup spinach leaves,"""11457"""
2615,2.0 tablespoons butter,"""01001"""
2616,1.0 whole lemon juiced,"""09152"""
2617,1 teaspoon salt,"""02047"""
2618,3.0 tablespoons olive oil,"""44005"""
2619,4 whole chicken legs,"""05075"""
2620,2.0 stalks celery,"""11143"""
2621,1.0 whole onion,"""11282"""
2622,1.0 whole carrot,"""11124"""
2623,1.0 whole bay leaf,"""02004"""
2624,0.5 cup dry white wine,"""14106"""
2625,4.0 cups low-salt chicken broth,"""06970"""
2626,1.0 cup sugar snap peas,"""11300"""
2627,0.5 cup celery,"""11143"""
2628,1.0 cup baby carrots,"""11960"""
2629,12.0 whole pearl onions,"""11282"""
2630,3.0 tablespoons butter,"""01001"""
